Month,Total Credits Minted,Avg Credits per POI,Avg Credits per CM,Proof Of Impact Count,Unique ChangeMakers
Oct-20,105.85,26.46,35.28,4,3
Nov-20,419.69,24.68,104.92,17,4
Dec-20,401.48,28.67,133.82,14,3
Jan-21,304.06,16.89,38,18,8
Feb-21,147.17,29.43,36.79,5,4
Mar-21,937.71,36.06,117.21,26,8
Apr-21,401.44,30.88,57.34,13,7
May-21,237.89,26.43,39.64,9,6
Jun-21,358.26,25.59,51.18,14,7
Jul-21,33.88,16.94,16.94,2,2
